"Orders","შეკვეთები"
"Items","ელემენტი"
"Total","სულ"
"Product","პროდუქტი"
"Price","ფასი"
"Quantity","რაოდენობა"
"Tax","გადასახადი"
"Shipping","მიწოდება"
"My Account","ჩემი ანგარიში"
"Account Information","ანგარიშის ინფორმაცია"
"First Name","სახელი"
"Last Name","გვარი"
"Email","ელ. ფოსტა"
"New Password","ახალი პაროლი"
"Refresh","განახლება"
"Back","უკან"
"Delete","წაშლა"
"Save","შენახვა"
"Store","მაღაზია"
"-- Please Select --","-- გთხოვთ, აირჩიოთ --"
"Cancel","გაუქმება"
"No","არა"
"Yes","დიახ"
"Name","სახელი"
"Disabled","გამორთულია"
"Enabled","ჩართულია"
"Stores","მაღაზიები"
"Home","მთავარი"
"Reset","განულება"
"Search","ძებნა"
"From","დან"
"To","მდე"
"Select All","ყველას არჩევა"
"Add New","ახლის დამატება"
"Export","ექსპორტი"
"Submit","გაგზავნა"
"Dashboard","მთავარი გვერდი"
"Error","შეცდომა"
"Access Denied.","წვდომა აკრძალულია."
"New ","ახალი"
"Today","დღეს"
"Last 7 Days","ბოლო 7 დღე"
"Order","შეკვეთა"
"Edit","რედაქტირება"
"Password","პაროლი"
"password","პაროლი"
"Sign in","შესვლა"
"Sign Out","გასვლა"
"Close","დახურვა"
"Previous","წინა"
"Next","შემდეგი"
"Time","დრო"
"Privacy Policy","კონფიდენციალურობის პოლიტიკა"
"No records found.","ჩანაწერები ვერ მოიძებნა."
"Actions","მოქმედებები"
"Unselect All","არჩევის გაუქმება"
"Loading...","იტვირთება..."
"Marketing","მარკეტინგი"
"Settings","პარამეტრები"
"Currency","ვალუტა"
"Country","ქვეყანა"
"ZIP/Postal Code","საფოსტო ინდექსი"
"City","ქალაქი"
"Street Address","ქუჩის მისამართი"
"VAT Number","დღგ-ის ნომერი"
"Description","აღწერა"
