"Save","შენახვა"
"Summary","შეჯამება"
"Choose an Option...","აირჩიეთ ვარიანტი..."
"Confirm","დადასტურება"
"Name","სახელი"
"SKU","SKU"
"Price","ფასი"
"Quantity","რაოდენობა"
"Weight","წონა"
"Actions","მოქმედებები"
"Select All","ყველას არჩევა"
"{size}","{ზომა}"
"Select","აირჩიეთ"
"Cancel","გაუქმება"
"Excl. Tax","გადასახადის გარეშე"
"save","შენახვა"
"Enabled","ჩართულია"
"Disabled","გამორთულია"
"Incl. Tax","გადასახადის ჩათვლით"
"Something went wrong.","რაღაც შეცდომა მოხდა."
"Select...","აირჩიეთ..."
"ID","ID"
"Required","სავალდებულო"
