"Total","სულ"
"Shipping Methods","მიწოდების მეთოდები"
"Edit Address","მისამართის რედაქტირება"
"Shipping Information","მიწოდების ინფორმაცია"
"Place Order","შეკვეთის განთავსება"
"Add New Address","ახალი მისამართის დამატება"
"Product","პროდუქტი"
"Qty","რაოდენობა"
"Actions","მოქმედებები"
"Remove Item","ელემენტის წაშლა"
"Remove item","ელემენტის წაშლა"
"Loading...","იტვირთება..."
"Billing Address","ანგარიშსწორების მისამართი"
"Change","შეცვლა"
"Payment Method","გადახდის მეთოდი"
"Address","მისამართი"
"of","ის"
"Shipping Method","მიწოდების მეთოდი"
"Incl. Tax","გადასახადის ჩათვლით"
"Excl. Tax","გადასახადის გარეშე"
"Order Review","შეკვეთის გადახედვა"
"Item","ელემენტი"
"Edit","რედაქტირება"
"Price","ფასი"
"Subtotal","ქვეჯამი"
"Items","ელემენტი"
"Grand Total:","საერთო ჯამი:"
"Error:","შეცდომა:"
"Continue Shopping","შოპინგის გაგრძელება"
"Thank you for your purchase!","გმადლობთ შეძენისთვის!"
