"Cancel","გაუქმება"
"Close","დახურვა"
"Save","შენახვა"
"Active","აქტიური"
"Inactive","არააქტიური"
"Delete","წაშლა"
"Page","გვერდი"
"Add to Cart","კალათაში დამატება"
"In stock","მარაგშია"
"Out of stock","მარაგში არ არის"
"Add to Wish List","სასურველთა სიაში დამატება"
"Add to Compare","შესადარებლად დამატება"
"Select","აირჩიეთ"
"Apply","გამოყენება"
"OK","კარგი"
"Products","პროდუქტები"
"None","არცერთი"
"ID","ID"
"Phone Number","ტელეფონის ნომერი"
"Street Address","ქუჩის მისამართი"
"City","ქალაქი"
"Zip/Postal Code","საფოსტო ინდექსი"
"Country","ქვეყანა"
"Edit","რედაქტირება"
"Category","კატეგორია"
"SKU","SKU"
"Sort By","დალაგების ტიპი"
"Created","შექმნილი"
"More Information","დამატებითი ინფორმაცია"
"Reviews","მიმოხილვები"
