"Product","პროდუქტი"
"Nickname","მეტსახელი"
"Review","მიმოხილვა"
"Previous","წინა"
"Next","შემდეგი"
"ID","ID"
"Created","შექმნილი"
"SKU","SKU"
"Action","მოქმედება"
"Edit","რედაქტირება"
"Delete","წაშლა"
"Name","სახელი"
"Price","ფასი"
"Quantity","რაოდენობა"
"Reviews","მიმოხილვები"
"Approved","დადასტურებული"
"Pending","მოლოდინში"
"Rating","შეფასება"
"Actions","მოქმედებები"
"Back","უკან"
"View All","ყველას ნახვა"
"Your Review","თქვენი მიმოხილვა"
"Be the first to review this product","დაწერე პირველი მიმოხილვა ამ პროდუქტზე"
"Your Rating","შენი შეფასება"
"Summary","შეჯამება"
"Submit Review","მიმოხილვის გაგზავნა"
"Enabled","ჩართულია"
"Active","აქტიური"
"Inactive","არააქტიური"
