"Delete","წაშლა"
"Reset","განულება"
"Save","შენახვა"
"Actions","მოქმედებები"
"Coupon Code","კუპონის კოდი"
"Created","შექმნილი"
"No","არა"
"Yes","დიახ"
"ID","ID"
"Discount","ფასდაკლება"
"Subtotal","ქვეჯამი"
"Payment Method","გადახდის მეთოდი"
"Shipping Method","მიწოდების მეთოდი"
"NOT FOUND","ვერ მოიძებნა"
"Active","აქტიური"
"Inactive","არააქტიური"
"Name","სახელი"
"Apply Discount Code","ფასდაკლების კოდის გამოყენება"
"Cancel","გაუქმება"
"Back","უკან"
"Description","აღწერა"
"Coupon","კუპონი"
"From","დან"
"To","მდე"
"Apply","გამოყენება"
