"Add","დამატება"
"Print","ამობეჭდვა"
"Shipments","გადაზიდვები"
"Size","ზომა"
"Product","პროდუქტი"
"Weight","წონა"
"Qty","რაოდენობა"
"message","შეტყობინება"
"Payment Information","გადახდის ინფორმაცია"
"Shipping Information","მიწოდების ინფორმაცია"
"Incl. Tax","გადასახადის ჩათვლით"
"Select All","ყველას არჩევა"
"Delete","წაშლა"
"Cancel","გაუქმება"
"Save","შენახვა"
"Carrier","გადამტანი"
"Action","მოქმედება"
"Order Total","შეკვეთის ჯამი"
"Shipment #","გადაზიდვა #"
"SKU","SKU"
"Tracking Number:","თვალყურის დევნების ნომერი:"
"Carrier:","გადამტანი:"
"Error:","შეცდომა:"
"contact us","დაგვიკავშირდით"
"N/A","არ არის"
"Date","თარიღი"
"Description","აღწერა"
"Country","ქვეყანა"
"ZIP/Postal Code","საფოსტო ინდექსი"
"City","ქალაქი"
"Street Address","ქუჩის მისამართი"
"Shipping Methods","მიწოდების მეთოდები"
