"State","რეგიონი"
"Country","ქვეყანა"
"Back","უკან"
"Reset","განულება"
"Name","სახელი"
"Tax","გადასახადი"
"Shipping Address","მიწოდების მისამართი"
"Billing Address","ანგარიშსწორების მისამართი"
"Subtotal","ქვეჯამი"
"Total","სულ"
"Excluding Tax","გადასახადის გარეშე"
"Including Tax","გადასახადის ჩათვლით"
"None","არცერთი"
"product","პროდუქტი"
"Excl. tax:","გადასახადის გარეშე:"
"Incl. Tax","გადასახადის ჩათვლით"
"Excl. Tax","გადასახადის გარეშე"
"Save","შენახვა"
"(Excl. Tax)","(გადასახადის გარეშე)"
"(Incl. Tax)","(გადასახადის ჩათვლით)"
"Order Total","შეკვეთის ჯამი"
