"Back","უკან"
"welcome","კეთილი იყოს თქვენი მობრძანება"
"-- Please Select --","-- გთხოვთ, აირჩიოთ --"
"Copy","კოპირება"
"Message","შეტყობინება"
"Edit","რედაქტირება"
"View","ნახვა"
"Remove","წაშლა"
"Loading...","იტვირთება..."
"%1 Item","%1 ელემენტი"
"Page","გვერდი"
"Previous","წინა"
"Next","შემდეგი"
"Show","ჩვენება"
"Close","დახურვა"
"Time","დრო"
"%name,","%სახელი,"
"Email:","ელ. ფოსტა:"
"Password:","პაროლი:"
"Home","მთავარი"
"Empty","ცარიელია"
"Header","ზედა ნაწილი"
"Footer","ქვედა ნაწილი"
"Copyright","საავტორო უფლებები"
"Store","მაღაზია"
"ID","ID"
"Menu","მენიუ"
"Account","ანგარიში"
"Settings","პარამეტრები"
