"Select","აირჩიეთ"
"Cancel","გაუქმება"
"Back","უკან"
"Next","შემდეგი"
"Delete","წაშლა"
"Yes","დიახ"
"No","არა"
"Actions","მოქმედებები"
"Show more","მეტის ნახვა"
"Previous","წინა"
"Close","დახურვა"
"Submit","გაგზავნა"
"Edit","რედაქტირება"
"Reset","განულება"
"Apply","გამოყენება"
"Save","შენახვა"
"Export","ექსპორტი"
"Remove","წაშლა"
"Filters","ფილტრები"
"of","ის"
"Search","ძებნა"
"Sort by","დალაგების ტიპი"
"Today","დღეს"
"Add","დამატება"
"Something went wrong.","რაღაც შეცდომა მოხდა."
"Select...","აირჩიეთ..."
"Select All","ყველას არჩევა"
"On","ჩართული"
"Off","გამორთული"
"from","დან"
"to","მდე"
"This is a required field.","ეს ველი სავალდებულოა."
"OK","კარგი"
"Ok","კარგი"
"Action","მოქმედება"
